Source,Target,Type,Id,Label,timeset,Weight
0,1,Undirected,0,,,1
1,2,Undirected,1,,,1
3,2,Undirected,2,,,1
0,4,Undirected,3,,,1
5,4,Undirected,4,,,1
5,6,Undirected,5,,,1
5,7,Undirected,6,,,1
8,7,Undirected,7,,,1
8,9,Undirected,8,,,1
9,10,Undirected,9,,,1
11,10,Undirected,10,,,1
11,12,Undirected,11,,,1
13,12,Undirected,12,,,1
13,14,Undirected,13,,,1
15,14,Undirected,14,,,1
15,16,Undirected,15,,,1
15,17,Undirected,16,,,1
18,17,Undirected,17,,,1
18,19,Undirected,18,,,1
20,19,Undirected,19,,,1
21,19,Undirected,20,,,1
22,19,Undirected,22,,,1
23,18,Undirected,23,,,1
23,24,Undirected,24,,,1
23,25,Undirected,25,,,1
26,25,Undirected,26,,,1
26,0,Undirected,27,,,1
27,0,Undirected,28,,,1
27,28,Undirected,29,,,1
29,28,Undirected,30,,,1
29,30,Undirected,31,,,1
27,31,Undirected,32,,,1
32,31,Undirected,33,,,1
32,33,Undirected,34,,,1
32,34,Undirected,35,,,1
35,34,Undirected,36,,,1
31,36,Undirected,37,,,1
37,36,Undirected,38,,,1
37,38,Undirected,39,,,1
39,38,Undirected,40,,,1
36,40,Undirected,41,,,1
0,41,Undirected,42,,,1
42,41,Undirected,43,,,1
42,43,Undirected,44,,,1
44,43,Undirected,45,,,1
44,45,Undirected,46,,,1
46,45,Undirected,47,,,1
46,47,Undirected,48,,,1
48,47,Undirected,49,,,1
48,40,Undirected,50,,,1
49,40,Undirected,51,,,1
49,50,Undirected,52,,,1
51,50,Undirected,53,,,1
52,50,Undirected,54,,,1
52,53,Undirected,55,,,1
54,53,Undirected,56,,,1
55,53,Undirected,57,,,1
52,56,Undirected,58,,,1
56,57,Undirected,59,,,1
58,57,Undirected,60,,,1
58,59,Undirected,61,,,1
60,59,Undirected,62,,,1
61,59,Undirected,63,,,1
61,62,Undirected,64,,,1
63,62,Undirected,65,,,1
63,64,Undirected,66,,,1
65,64,Undirected,67,,,1
65,66,Undirected,68,,,1
65,67,Undirected,69,,,1
66,67,Undirected,70,,,1
57,68,Undirected,71,,,1
69,68,Undirected,72,,,1
69,70,Undirected,73,,,1
71,70,Undirected,74,,,1
70,72,Undirected,75,,,1
73,72,Undirected,76,,,1
74,72,Undirected,77,,,1
74,75,Undirected,78,,,1
76,75,Undirected,79,,,1
